Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.9979043627357592,0.993897122929381,0.9965034965034965,0.9951986032300305
Random Forest,0.9967612878643551,0.9930008748906387,0.9921328671328671,0.9925666812418015
Logistic Regression,0.9946656506001144,0.984375,0.9912587412587412,0.9878048780487805
